             Vardas                           Pavarde                     Galutinis (Vid.)         
            Vardas427                       Pavarde427                          4.14               
            Vardas428                       Pavarde428                          2.81               
            Vardas430                       Pavarde430                          4.64               
            Vardas432                       Pavarde432                          3.25               
            Vardas433                       Pavarde433                          3.34               
            Vardas436                       Pavarde436                          4.09               
            Vardas440                       Pavarde440                          3.25               
            Vardas443                       Pavarde443                          4.42               
            Vardas444                       Pavarde444                          3.24               
            Vardas446                       Pavarde446                          2.41               
            Vardas447                       Pavarde447                          1.33               
            Vardas448                       Pavarde448                          1.77               
            Vardas451                       Pavarde451                          2.08               
            Vardas452                       Pavarde452                          4.26               
            Vardas453                       Pavarde453                          4.44               
            Vardas454                       Pavarde454                          3.29               
            Vardas455                       Pavarde455                          4.10               
            Vardas458                       Pavarde458                          4.40               
            Vardas459                       Pavarde459                          3.77               
            Vardas461                       Pavarde461                          2.74               
            Vardas462                       Pavarde462                          1.76               
            Vardas466                       Pavarde466                          4.25               
            Vardas470                       Pavarde470                          3.20               
            Vardas471                       Pavarde471                          1.40               
            Vardas477                       Pavarde477                          3.69               
            Vardas478                       Pavarde478                          3.41               
            Vardas482                       Pavarde482                          3.46               
            Vardas483                       Pavarde483                          2.53               
            Vardas485                       Pavarde485                          2.28               
            Vardas486                       Pavarde486                          3.17               
            Vardas487                       Pavarde487                          2.61               
            Vardas489                       Pavarde489                          4.49               
            Vardas491                       Pavarde491                          1.95               
            Vardas492                       Pavarde492                          2.20               
            Vardas493                       Pavarde493                          4.11               
            Vardas494                       Pavarde494                          4.38               
            Vardas496                       Pavarde496                          3.11               
            Vardas497                       Pavarde497                          3.80               
            Vardas498                       Pavarde498                          3.80               
            Vardas499                       Pavarde499                          3.57               
            Vardas500                       Pavarde500                          2.56               
            Vardas504                       Pavarde504                          3.32               
            Vardas506                       Pavarde506                          2.34               
            Vardas509                       Pavarde509                          1.63               
            Vardas516                       Pavarde516                          3.66               
            Vardas517                       Pavarde517                          2.72               
            Vardas518                       Pavarde518                          3.25               
            Vardas520                       Pavarde520                          4.22               
            Vardas523                       Pavarde523                          4.18               
            Vardas524                       Pavarde524                          4.51               
            Vardas525                       Pavarde525                          4.21               
            Vardas527                       Pavarde527                          2.51               
            Vardas534                       Pavarde534                          2.59               
            Vardas536                       Pavarde536                          3.48               
            Vardas537                       Pavarde537                          3.55               
            Vardas538                       Pavarde538                          2.26               
            Vardas542                       Pavarde542                          4.10               
            Vardas543                       Pavarde543                          1.91               
            Vardas544                       Pavarde544                          4.37               
            Vardas545                       Pavarde545                          1.63               
            Vardas547                       Pavarde547                          3.01               
            Vardas549                       Pavarde549                          1.97               
            Vardas552                       Pavarde552                          4.15               
            Vardas555                       Pavarde555                          2.75               
            Vardas556                       Pavarde556                          2.60               
            Vardas557                       Pavarde557                          1.70               
            Vardas559                       Pavarde559                          1.82               
            Vardas563                       Pavarde563                          2.51               
            Vardas565                       Pavarde565                          4.75               
            Vardas567                       Pavarde567                          2.11               
            Vardas568                       Pavarde568                          1.47               
            Vardas575                       Pavarde575                          4.03               
            Vardas576                       Pavarde576                          3.07               
            Vardas579                       Pavarde579                          3.53               
            Vardas580                       Pavarde580                          3.24               
            Vardas581                       Pavarde581                          4.53               
            Vardas582                       Pavarde582                          3.66               
            Vardas583                       Pavarde583                          2.83               
            Vardas584                       Pavarde584                          4.01               
            Vardas585                       Pavarde585                          3.92               
            Vardas586                       Pavarde586                          4.69               
            Vardas588                       Pavarde588                          3.52               
            Vardas589                       Pavarde589                          2.41               
            Vardas590                       Pavarde590                          3.21               
            Vardas594                       Pavarde594                          2.46               
            Vardas597                       Pavarde597                          2.19               
            Vardas598                       Pavarde598                          4.61               
            Vardas599                       Pavarde599                          3.29               
            Vardas601                       Pavarde601                          3.99               
            Vardas602                       Pavarde602                          2.99               
            Vardas605                       Pavarde605                          1.72               
            Vardas606                       Pavarde606                          3.08               
            Vardas607                       Pavarde607                          2.20               
            Vardas608                       Pavarde608                          4.70               
            Vardas609                       Pavarde609                          4.93               
            Vardas612                       Pavarde612                          3.66               
            Vardas613                       Pavarde613                          2.35               
            Vardas614                       Pavarde614                          4.84               
            Vardas615                       Pavarde615                          4.52               
            Vardas616                       Pavarde616                          4.48               
            Vardas621                       Pavarde621                          2.27               
            Vardas622                       Pavarde622                          3.79               
            Vardas627                       Pavarde627                          3.86               
            Vardas628                       Pavarde628                          1.89               
            Vardas629                       Pavarde629                          3.91               
            Vardas637                       Pavarde637                          2.05               
            Vardas638                       Pavarde638                          4.08               
            Vardas640                       Pavarde640                          3.59               
            Vardas642                       Pavarde642                          3.61               
            Vardas643                       Pavarde643                          4.80               
            Vardas644                       Pavarde644                          3.81               
            Vardas645                       Pavarde645                          2.32               
            Vardas646                       Pavarde646                          4.00               
            Vardas647                       Pavarde647                          3.47               
            Vardas650                       Pavarde650                          2.25               
            Vardas652                       Pavarde652                          4.69               
            Vardas654                       Pavarde654                          4.91               
            Vardas655                       Pavarde655                          1.18               
            Vardas656                       Pavarde656                          4.58               
            Vardas660                       Pavarde660                          4.20               
            Vardas661                       Pavarde661                          3.47               
            Vardas664                       Pavarde664                          3.04               
            Vardas665                       Pavarde665                          2.71               
            Vardas668                       Pavarde668                          2.15               
            Vardas670                       Pavarde670                          4.09               
            Vardas671                       Pavarde671                          4.20               
            Vardas672                       Pavarde672                          2.89               
            Vardas673                       Pavarde673                          3.29               
            Vardas676                       Pavarde676                          3.34               
            Vardas678                       Pavarde678                          4.26               
            Vardas682                       Pavarde682                          4.18               
            Vardas684                       Pavarde684                          3.56               
            Vardas685                       Pavarde685                          2.00               
            Vardas686                       Pavarde686                          4.02               
            Vardas687                       Pavarde687                          2.51               
            Vardas688                       Pavarde688                          4.53               
            Vardas692                       Pavarde692                          3.96               
            Vardas693                       Pavarde693                          3.30               
            Vardas694                       Pavarde694                          4.33               
            Vardas697                       Pavarde697                          4.27               
            Vardas698                       Pavarde698                          3.38               
            Vardas699                       Pavarde699                          3.49               
            Vardas700                       Pavarde700                          4.16               
            Vardas701                       Pavarde701                          3.47               
            Vardas702                       Pavarde702                          1.64               
            Vardas703                       Pavarde703                          3.77               
            Vardas712                       Pavarde712                          4.68               
            Vardas713                       Pavarde713                          2.15               
            Vardas716                       Pavarde716                          2.84               
            Vardas721                       Pavarde721                          4.24               
            Vardas724                       Pavarde724                          2.49               
            Vardas727                       Pavarde727                          4.48               
            Vardas728                       Pavarde728                          1.80               
            Vardas731                       Pavarde731                          3.47               
            Vardas732                       Pavarde732                          4.37               
            Vardas733                       Pavarde733                          3.07               
            Vardas734                       Pavarde734                          4.36               
            Vardas738                       Pavarde738                          2.30               
            Vardas739                       Pavarde739                          4.95               
            Vardas743                       Pavarde743                          3.70               
            Vardas745                       Pavarde745                          2.22               
            Vardas747                       Pavarde747                          4.32               
            Vardas749                       Pavarde749                          3.71               
            Vardas752                       Pavarde752                          2.94               
            Vardas753                       Pavarde753                          2.34               
            Vardas754                       Pavarde754                          2.76               
            Vardas757                       Pavarde757                          4.66               
            Vardas758                       Pavarde758                          2.25               
            Vardas759                       Pavarde759                          4.56               
            Vardas760                       Pavarde760                          1.96               
            Vardas761                       Pavarde761                          3.60               
            Vardas762                       Pavarde762                          3.56               
            Vardas763                       Pavarde763                          2.78               
            Vardas768                       Pavarde768                          2.35               
            Vardas771                       Pavarde771                          2.42               
            Vardas772                       Pavarde772                          3.22               
            Vardas777                       Pavarde777                          4.97               
            Vardas778                       Pavarde778                          3.12               
            Vardas782                       Pavarde782                          3.10               
            Vardas784                       Pavarde784                          3.94               
            Vardas786                       Pavarde786                          3.79               
            Vardas789                       Pavarde789                          3.08               
            Vardas791                       Pavarde791                          3.48               
            Vardas792                       Pavarde792                          4.13               
            Vardas793                       Pavarde793                          2.71               
            Vardas794                       Pavarde794                          2.78               
            Vardas797                       Pavarde797                          4.80               
            Vardas798                       Pavarde798                          1.97               
            Vardas803                       Pavarde803                          3.96               
            Vardas804                       Pavarde804                          4.85               
            Vardas810                       Pavarde810                          4.40               
            Vardas815                       Pavarde815                          3.29               
            Vardas818                       Pavarde818                          2.70               
            Vardas820                       Pavarde820                          3.59               
            Vardas823                       Pavarde823                          4.52               
            Vardas824                       Pavarde824                          4.87               
            Vardas825                       Pavarde825                          4.81               
            Vardas826                       Pavarde826                          4.31               
            Vardas828                       Pavarde828                          3.84               
            Vardas831                       Pavarde831                          3.32               
            Vardas834                       Pavarde834                          1.62               
            Vardas835                       Pavarde835                          2.87               
            Vardas837                       Pavarde837                          1.11               
            Vardas838                       Pavarde838                          2.49               
            Vardas841                       Pavarde841                          3.60               
            Vardas846                       Pavarde846                          3.28               
            Vardas848                       Pavarde848                          2.02               
            Vardas850                       Pavarde850                          4.56               
            Vardas853                       Pavarde853                          1.91               
            Vardas854                       Pavarde854                          2.92               
            Vardas855                       Pavarde855                          4.59               
            Vardas856                       Pavarde856                          2.10               
            Vardas857                       Pavarde857                          1.54               
            Vardas859                       Pavarde859                          3.35               
            Vardas861                       Pavarde861                          1.73               
            Vardas868                       Pavarde868                          3.21               
            Vardas870                       Pavarde870                          3.64               
            Vardas871                       Pavarde871                          2.48               
            Vardas873                       Pavarde873                          4.00               
            Vardas874                       Pavarde874                          3.23               
            Vardas875                       Pavarde875                          3.20               
            Vardas876                       Pavarde876                          4.36               
            Vardas877                       Pavarde877                          2.73               
            Vardas879                       Pavarde879                          3.30               
            Vardas880                       Pavarde880                          3.95               
            Vardas881                       Pavarde881                          4.62               
            Vardas886                       Pavarde886                          3.65               
            Vardas888                       Pavarde888                          3.62               
            Vardas889                       Pavarde889                          4.96               
            Vardas891                       Pavarde891                          4.75               
            Vardas892                       Pavarde892                          3.97               
            Vardas896                       Pavarde896                          3.49               
            Vardas897                       Pavarde897                          1.62               
            Vardas899                       Pavarde899                          4.21               
            Vardas900                       Pavarde900                          3.87               
