             Vardas                           Pavarde                     Galutinis (Vid.)         
            Vardas281                       Pavarde281                          8.21               
            Vardas283                       Pavarde283                          8.18               
            Vardas284                       Pavarde284                          6.20               
            Vardas285                       Pavarde285                          8.24               
            Vardas286                       Pavarde286                          6.46               
            Vardas295                       Pavarde295                          5.63               
            Vardas296                       Pavarde296                          5.75               
            Vardas297                       Pavarde297                          5.77               
            Vardas299                       Pavarde299                          7.40               
            Vardas301                       Pavarde301                          6.10               
            Vardas302                       Pavarde302                          7.66               
            Vardas303                       Pavarde303                          6.52               
            Vardas306                       Pavarde306                          7.06               
            Vardas307                       Pavarde307                          7.85               
            Vardas310                       Pavarde310                          5.36               
            Vardas311                       Pavarde311                          7.81               
            Vardas312                       Pavarde312                          5.10               
            Vardas313                       Pavarde313                          7.41               
            Vardas317                       Pavarde317                          5.26               
            Vardas318                       Pavarde318                          8.14               
            Vardas319                       Pavarde319                          6.66               
            Vardas320                       Pavarde320                          5.90               
            Vardas321                       Pavarde321                          6.42               
            Vardas322                       Pavarde322                          7.41               
            Vardas323                       Pavarde323                          5.71               
            Vardas324                       Pavarde324                          5.84               
            Vardas328                       Pavarde328                          8.45               
            Vardas330                       Pavarde330                          5.29               
            Vardas333                       Pavarde333                          7.71               
            Vardas336                       Pavarde336                          7.87               
            Vardas338                       Pavarde338                          8.27               
            Vardas339                       Pavarde339                          6.95               
            Vardas340                       Pavarde340                          6.12               
            Vardas341                       Pavarde341                          7.39               
            Vardas342                       Pavarde342                          6.97               
            Vardas345                       Pavarde345                          5.06               
            Vardas347                       Pavarde347                          6.82               
            Vardas349                       Pavarde349                          7.54               
            Vardas350                       Pavarde350                          7.38               
            Vardas353                       Pavarde353                          7.85               
            Vardas354                       Pavarde354                          6.79               
            Vardas355                       Pavarde355                          6.75               
            Vardas358                       Pavarde358                          7.43               
            Vardas359                       Pavarde359                          6.45               
            Vardas362                       Pavarde362                          7.79               
            Vardas363                       Pavarde363                          7.41               
            Vardas364                       Pavarde364                          7.38               
            Vardas365                       Pavarde365                          6.49               
            Vardas367                       Pavarde367                          7.27               
            Vardas368                       Pavarde368                          7.56               
            Vardas369                       Pavarde369                          5.72               
            Vardas370                       Pavarde370                          7.71               
            Vardas377                       Pavarde377                          5.49               
            Vardas378                       Pavarde378                          7.27               
            Vardas379                       Pavarde379                          8.02               
            Vardas380                       Pavarde380                          8.36               
            Vardas381                       Pavarde381                          7.08               
            Vardas386                       Pavarde386                          5.83               
            Vardas388                       Pavarde388                          7.39               
            Vardas389                       Pavarde389                          5.65               
            Vardas390                       Pavarde390                          8.48               
            Vardas392                       Pavarde392                          7.27               
            Vardas394                       Pavarde394                          6.26               
            Vardas395                       Pavarde395                          7.60               
            Vardas396                       Pavarde396                          8.26               
            Vardas397                       Pavarde397                          7.32               
            Vardas398                       Pavarde398                          8.67               
            Vardas401                       Pavarde401                          6.21               
            Vardas402                       Pavarde402                          5.63               
            Vardas406                       Pavarde406                          6.55               
            Vardas407                       Pavarde407                          7.66               
            Vardas408                       Pavarde408                          8.46               
            Vardas411                       Pavarde411                          5.48               
            Vardas413                       Pavarde413                          7.09               
            Vardas414                       Pavarde414                          7.60               
            Vardas415                       Pavarde415                          7.94               
            Vardas417                       Pavarde417                          6.66               
            Vardas418                       Pavarde418                          8.44               
            Vardas422                       Pavarde422                          6.99               
            Vardas424                       Pavarde424                          7.06               
            Vardas427                       Pavarde427                          5.75               
            Vardas429                       Pavarde429                          7.57               
            Vardas430                       Pavarde430                          7.37               
            Vardas431                       Pavarde431                          5.32               
            Vardas439                       Pavarde439                          5.74               
            Vardas446                       Pavarde446                          7.79               
            Vardas451                       Pavarde451                          8.03               
            Vardas455                       Pavarde455                          7.14               
            Vardas456                       Pavarde456                          5.97               
            Vardas457                       Pavarde457                          8.75               
            Vardas458                       Pavarde458                          6.01               
            Vardas459                       Pavarde459                          6.12               
            Vardas460                       Pavarde460                          6.28               
            Vardas461                       Pavarde461                          6.53               
            Vardas462                       Pavarde462                          7.12               
            Vardas464                       Pavarde464                          8.77               
            Vardas467                       Pavarde467                          5.84               
            Vardas468                       Pavarde468                          9.08               
            Vardas469                       Pavarde469                          6.83               
            Vardas471                       Pavarde471                          8.19               
            Vardas472                       Pavarde472                          8.07               
            Vardas478                       Pavarde478                          5.44               
            Vardas480                       Pavarde480                          7.22               
            Vardas481                       Pavarde481                          6.48               
            Vardas482                       Pavarde482                          7.79               
            Vardas484                       Pavarde484                          6.25               
            Vardas486                       Pavarde486                          5.92               
            Vardas487                       Pavarde487                          8.07               
            Vardas490                       Pavarde490                          7.80               
            Vardas492                       Pavarde492                          6.15               
            Vardas495                       Pavarde495                          6.67               
            Vardas497                       Pavarde497                          6.45               
            Vardas498                       Pavarde498                          7.75               
            Vardas499                       Pavarde499                          6.70               
            Vardas500                       Pavarde500                          5.39               
            Vardas504                       Pavarde504                          5.66               
            Vardas505                       Pavarde505                          5.18               
            Vardas506                       Pavarde506                          7.83               
            Vardas507                       Pavarde507                          5.09               
            Vardas509                       Pavarde509                          8.11               
            Vardas510                       Pavarde510                          5.76               
            Vardas513                       Pavarde513                          7.08               
            Vardas514                       Pavarde514                          5.48               
            Vardas515                       Pavarde515                          7.12               
            Vardas521                       Pavarde521                          8.24               
            Vardas529                       Pavarde529                          5.31               
            Vardas531                       Pavarde531                          6.01               
            Vardas533                       Pavarde533                          8.14               
            Vardas535                       Pavarde535                          5.44               
            Vardas540                       Pavarde540                          5.99               
            Vardas541                       Pavarde541                          7.79               
            Vardas543                       Pavarde543                          5.26               
            Vardas544                       Pavarde544                          7.51               
            Vardas547                       Pavarde547                          7.24               
            Vardas549                       Pavarde549                          6.75               
            Vardas552                       Pavarde552                          7.57               
            Vardas557                       Pavarde557                          6.45               
            Vardas559                       Pavarde559                          5.79               
            Vardas560                       Pavarde560                          5.21               
            Vardas561                       Pavarde561                          5.42               
            Vardas562                       Pavarde562                          5.64               
            Vardas563                       Pavarde563                          5.08               
            Vardas564                       Pavarde564                          6.58               
            Vardas566                       Pavarde566                          8.17               
            Vardas567                       Pavarde567                          7.80               
            Vardas568                       Pavarde568                          7.51               
            Vardas573                       Pavarde573                          6.46               
            Vardas574                       Pavarde574                          7.48               
            Vardas575                       Pavarde575                          5.91               
            Vardas576                       Pavarde576                          6.71               
            Vardas577                       Pavarde577                          6.46               
            Vardas578                       Pavarde578                          7.90               
            Vardas580                       Pavarde580                          6.40               
            Vardas582                       Pavarde582                          7.91               
            Vardas583                       Pavarde583                          7.05               
            Vardas585                       Pavarde585                          6.43               
            Vardas587                       Pavarde587                          5.61               
            Vardas588                       Pavarde588                          5.64               
            Vardas592                       Pavarde592                          8.43               
            Vardas594                       Pavarde594                          6.79               
            Vardas595                       Pavarde595                          6.94               
            Vardas602                       Pavarde602                          6.95               
            Vardas603                       Pavarde603                          5.75               
            Vardas605                       Pavarde605                          5.94               
            Vardas608                       Pavarde608                          6.43               
            Vardas610                       Pavarde610                          5.50               
            Vardas612                       Pavarde612                          5.64               
            Vardas613                       Pavarde613                          7.61               
            Vardas614                       Pavarde614                          6.39               
            Vardas617                       Pavarde617                          8.23               
            Vardas618                       Pavarde618                          7.38               
            Vardas622                       Pavarde622                          7.80               
            Vardas623                       Pavarde623                          7.88               
            Vardas624                       Pavarde624                          7.54               
            Vardas626                       Pavarde626                          5.41               
            Vardas628                       Pavarde628                          6.14               
            Vardas631                       Pavarde631                          7.61               
            Vardas633                       Pavarde633                          5.69               
            Vardas637                       Pavarde637                          8.19               
            Vardas638                       Pavarde638                          6.35               
            Vardas639                       Pavarde639                          8.18               
            Vardas640                       Pavarde640                          7.39               
            Vardas644                       Pavarde644                          8.91               
            Vardas652                       Pavarde652                          7.03               
            Vardas656                       Pavarde656                          6.39               
            Vardas657                       Pavarde657                          8.42               
            Vardas658                       Pavarde658                          5.53               
            Vardas660                       Pavarde660                          7.74               
            Vardas663                       Pavarde663                          7.01               
            Vardas665                       Pavarde665                          5.74               
            Vardas666                       Pavarde666                          5.30               
            Vardas670                       Pavarde670                          5.22               
            Vardas673                       Pavarde673                          8.00               
            Vardas675                       Pavarde675                          6.79               
            Vardas677                       Pavarde677                          5.39               
            Vardas679                       Pavarde679                          5.90               
            Vardas681                       Pavarde681                          8.13               
            Vardas684                       Pavarde684                          6.41               
            Vardas685                       Pavarde685                          5.45               
            Vardas686                       Pavarde686                          7.37               
            Vardas687                       Pavarde687                          5.94               
            Vardas688                       Pavarde688                          5.51               
            Vardas689                       Pavarde689                          5.82               
            Vardas690                       Pavarde690                          8.20               
            Vardas691                       Pavarde691                          5.33               
            Vardas693                       Pavarde693                          6.32               
            Vardas695                       Pavarde695                          7.39               
            Vardas696                       Pavarde696                          5.13               
            Vardas699                       Pavarde699                          8.21               
            Vardas703                       Pavarde703                          6.33               
            Vardas704                       Pavarde704                          5.76               
            Vardas708                       Pavarde708                          8.78               
            Vardas711                       Pavarde711                          7.87               
            Vardas712                       Pavarde712                          5.94               
            Vardas713                       Pavarde713                          5.60               
            Vardas715                       Pavarde715                          5.52               
            Vardas716                       Pavarde716                          5.53               
            Vardas718                       Pavarde718                          5.94               
            Vardas719                       Pavarde719                          7.85               
            Vardas720                       Pavarde720                          5.45               
            Vardas722                       Pavarde722                          5.19               
            Vardas726                       Pavarde726                          5.37               
            Vardas731                       Pavarde731                          6.66               
            Vardas734                       Pavarde734                          8.22               
            Vardas738                       Pavarde738                          8.43               
            Vardas739                       Pavarde739                          6.22               
            Vardas743                       Pavarde743                          6.78               
            Vardas745                       Pavarde745                          5.04               
            Vardas747                       Pavarde747                          5.43               
            Vardas748                       Pavarde748                          6.89               
            Vardas752                       Pavarde752                          5.46               
            Vardas753                       Pavarde753                          5.52               
            Vardas757                       Pavarde757                          6.52               
            Vardas758                       Pavarde758                          7.69               
            Vardas765                       Pavarde765                          5.54               
            Vardas766                       Pavarde766                          5.48               
            Vardas767                       Pavarde767                          6.60               
            Vardas768                       Pavarde768                          5.64               
            Vardas769                       Pavarde769                          5.04               
            Vardas772                       Pavarde772                          5.92               
            Vardas778                       Pavarde778                          6.30               
            Vardas780                       Pavarde780                          7.19               
            Vardas783                       Pavarde783                          6.84               
            Vardas784                       Pavarde784                          7.74               
            Vardas786                       Pavarde786                          6.60               
            Vardas787                       Pavarde787                          6.83               
            Vardas788                       Pavarde788                          7.67               
            Vardas791                       Pavarde791                          5.60               
            Vardas792                       Pavarde792                          5.41               
            Vardas793                       Pavarde793                          7.51               
            Vardas794                       Pavarde794                          7.00               
            Vardas795                       Pavarde795                          6.67               
            Vardas797                       Pavarde797                          5.97               
            Vardas798                       Pavarde798                          7.99               
            Vardas799                       Pavarde799                          5.47               
            Vardas802                       Pavarde802                          7.15               
            Vardas806                       Pavarde806                          8.47               
            Vardas807                       Pavarde807                          7.19               
            Vardas810                       Pavarde810                          6.47               
            Vardas815                       Pavarde815                          7.28               
            Vardas818                       Pavarde818                          7.10               
            Vardas819                       Pavarde819                          7.46               
            Vardas820                       Pavarde820                          6.62               
            Vardas821                       Pavarde821                          8.01               
            Vardas822                       Pavarde822                          6.78               
            Vardas825                       Pavarde825                          6.73               
            Vardas827                       Pavarde827                          5.87               
            Vardas830                       Pavarde830                          6.92               
            Vardas832                       Pavarde832                          7.08               
            Vardas833                       Pavarde833                          7.52               
            Vardas834                       Pavarde834                          5.92               
            Vardas835                       Pavarde835                          8.76               
            Vardas837                       Pavarde837                          5.24               
            Vardas838                       Pavarde838                          7.71               
            Vardas839                       Pavarde839                          5.33               
            Vardas840                       Pavarde840                          6.23               
            Vardas845                       Pavarde845                          6.62               
            Vardas846                       Pavarde846                          7.63               
            Vardas853                       Pavarde853                          8.74               
            Vardas854                       Pavarde854                          7.04               
            Vardas856                       Pavarde856                          7.41               
            Vardas857                       Pavarde857                          7.95               
            Vardas858                       Pavarde858                          5.76               
            Vardas859                       Pavarde859                          5.10               
            Vardas860                       Pavarde860                          5.55               
            Vardas864                       Pavarde864                          6.67               
            Vardas865                       Pavarde865                          6.48               
            Vardas867                       Pavarde867                          7.46               
            Vardas868                       Pavarde868                          8.08               
            Vardas869                       Pavarde869                          7.28               
            Vardas870                       Pavarde870                          7.74               
            Vardas873                       Pavarde873                          7.91               
            Vardas875                       Pavarde875                          6.45               
            Vardas877                       Pavarde877                          6.00               
            Vardas880                       Pavarde880                          6.03               
            Vardas881                       Pavarde881                          5.65               
            Vardas883                       Pavarde883                          7.86               
            Vardas884                       Pavarde884                          5.55               
            Vardas887                       Pavarde887                          7.53               
            Vardas888                       Pavarde888                          5.34               
            Vardas889                       Pavarde889                          5.67               
            Vardas890                       Pavarde890                          7.25               
            Vardas893                       Pavarde893                          5.06               
            Vardas894                       Pavarde894                          5.71               
            Vardas896                       Pavarde896                          7.13               
            Vardas898                       Pavarde898                          5.93               
            Vardas900                       Pavarde900                          7.51               
            Vardas902                       Pavarde902                          6.08               
            Vardas905                       Pavarde905                          6.11               
            Vardas907                       Pavarde907                          7.41               
            Vardas908                       Pavarde908                          5.55               
            Vardas912                       Pavarde912                          7.00               
            Vardas913                       Pavarde913                          5.20               
            Vardas914                       Pavarde914                          7.98               
            Vardas916                       Pavarde916                          7.03               
