             Vardas                           Pavarde                     Galutinis (Vid.)         
            Vardas302                       Pavarde302                          5.22               
            Vardas303                       Pavarde303                          5.55               
            Vardas304                       Pavarde304                          4.86               
            Vardas305                       Pavarde305                          0.96               
            Vardas306                       Pavarde306                          4.11               
            Vardas307                       Pavarde307                          4.11               
            Vardas308                       Pavarde308                          7.88               
            Vardas309                       Pavarde309                          8.80               
            Vardas310                       Pavarde310                          5.23               
            Vardas311                       Pavarde311                          5.13               
            Vardas312                       Pavarde312                          5.79               
            Vardas313                       Pavarde313                          6.16               
            Vardas314                       Pavarde314                          6.77               
            Vardas315                       Pavarde315                          6.05               
            Vardas316                       Pavarde316                          5.56               
            Vardas317                       Pavarde317                          2.11               
            Vardas318                       Pavarde318                          6.04               
            Vardas319                       Pavarde319                          7.33               
            Vardas320                       Pavarde320                          6.96               
            Vardas321                       Pavarde321                          3.59               
            Vardas322                       Pavarde322                          4.11               
            Vardas323                       Pavarde323                          5.03               
            Vardas324                       Pavarde324                          4.75               
            Vardas325                       Pavarde325                          2.84               
            Vardas326                       Pavarde326                          3.84               
            Vardas327                       Pavarde327                          5.78               
            Vardas328                       Pavarde328                          6.78               
            Vardas329                       Pavarde329                          7.34               
            Vardas330                       Pavarde330                          7.36               
            Vardas331                       Pavarde331                          7.26               
            Vardas332                       Pavarde332                          2.55               
            Vardas333                       Pavarde333                          6.67               
            Vardas334                       Pavarde334                          5.45               
            Vardas335                       Pavarde335                          6.59               
            Vardas336                       Pavarde336                          6.17               
            Vardas337                       Pavarde337                          2.76               
            Vardas338                       Pavarde338                          7.66               
            Vardas339                       Pavarde339                          5.67               
            Vardas340                       Pavarde340                          5.84               
            Vardas341                       Pavarde341                          2.31               
            Vardas342                       Pavarde342                          3.46               
            Vardas343                       Pavarde343                          4.69               
            Vardas344                       Pavarde344                          6.48               
            Vardas345                       Pavarde345                          4.57               
            Vardas346                       Pavarde346                          8.10               
            Vardas347                       Pavarde347                          2.49               
            Vardas348                       Pavarde348                          6.39               
            Vardas349                       Pavarde349                          4.97               
            Vardas350                       Pavarde350                          8.36               
            Vardas351                       Pavarde351                          6.97               
            Vardas352                       Pavarde352                          6.12               
            Vardas353                       Pavarde353                          4.67               
            Vardas354                       Pavarde354                          3.47               
            Vardas355                       Pavarde355                          3.27               
            Vardas356                       Pavarde356                          2.82               
            Vardas357                       Pavarde357                          6.36               
            Vardas358                       Pavarde358                          4.74               
            Vardas359                       Pavarde359                          5.89               
            Vardas360                       Pavarde360                          5.97               
            Vardas361                       Pavarde361                          6.62               
            Vardas362                       Pavarde362                          7.85               
            Vardas363                       Pavarde363                          3.90               
            Vardas364                       Pavarde364                          5.00               
            Vardas365                       Pavarde365                          7.07               
            Vardas366                       Pavarde366                          5.66               
            Vardas367                       Pavarde367                          7.21               
            Vardas368                       Pavarde368                          4.14               
            Vardas369                       Pavarde369                          2.08               
            Vardas370                       Pavarde370                          5.01               
            Vardas371                       Pavarde371                          7.52               
            Vardas372                       Pavarde372                          7.06               
            Vardas373                       Pavarde373                          2.44               
            Vardas374                       Pavarde374                          2.88               
            Vardas375                       Pavarde375                          5.13               
            Vardas376                       Pavarde376                          2.22               
            Vardas377                       Pavarde377                          6.94               
            Vardas378                       Pavarde378                          1.09               
            Vardas379                       Pavarde379                          3.08               
            Vardas380                       Pavarde380                          4.58               
            Vardas381                       Pavarde381                          7.67               
            Vardas382                       Pavarde382                          4.80               
            Vardas383                       Pavarde383                          3.75               
            Vardas384                       Pavarde384                          5.88               
            Vardas385                       Pavarde385                          5.96               
            Vardas386                       Pavarde386                          6.41               
            Vardas387                       Pavarde387                          7.14               
            Vardas388                       Pavarde388                          7.31               
            Vardas389                       Pavarde389                          7.67               
            Vardas390                       Pavarde390                          3.42               
            Vardas391                       Pavarde391                          4.24               
            Vardas392                       Pavarde392                          7.39               
            Vardas393                       Pavarde393                          1.49               
            Vardas394                       Pavarde394                          5.84               
            Vardas395                       Pavarde395                          1.26               
            Vardas396                       Pavarde396                          8.77               
            Vardas397                       Pavarde397                          4.68               
            Vardas398                       Pavarde398                          1.68               
            Vardas399                       Pavarde399                          6.92               
            Vardas400                       Pavarde400                          6.38               
            Vardas401                       Pavarde401                          4.78               
            Vardas402                       Pavarde402                          7.76               
            Vardas403                       Pavarde403                          6.36               
            Vardas404                       Pavarde404                          7.85               
            Vardas405                       Pavarde405                          0.71               
            Vardas406                       Pavarde406                          2.20               
            Vardas407                       Pavarde407                          7.24               
            Vardas408                       Pavarde408                          2.31               
            Vardas409                       Pavarde409                          2.54               
            Vardas410                       Pavarde410                          8.13               
            Vardas411                       Pavarde411                          5.08               
            Vardas412                       Pavarde412                          6.43               
            Vardas413                       Pavarde413                          6.06               
            Vardas414                       Pavarde414                          3.57               
            Vardas415                       Pavarde415                          4.31               
            Vardas416                       Pavarde416                          1.83               
            Vardas417                       Pavarde417                          7.64               
            Vardas418                       Pavarde418                          8.01               
            Vardas419                       Pavarde419                          1.86               
            Vardas420                       Pavarde420                          7.76               
            Vardas421                       Pavarde421                          7.53               
            Vardas422                       Pavarde422                          4.75               
            Vardas423                       Pavarde423                          3.56               
            Vardas424                       Pavarde424                          7.47               
            Vardas425                       Pavarde425                          6.09               
            Vardas426                       Pavarde426                          6.54               
            Vardas427                       Pavarde427                          4.14               
            Vardas428                       Pavarde428                          2.81               
            Vardas429                       Pavarde429                          6.99               
            Vardas430                       Pavarde430                          4.64               
            Vardas431                       Pavarde431                          6.56               
            Vardas432                       Pavarde432                          3.25               
            Vardas433                       Pavarde433                          3.34               
            Vardas434                       Pavarde434                          6.86               
            Vardas435                       Pavarde435                          8.02               
            Vardas436                       Pavarde436                          4.09               
            Vardas437                       Pavarde437                          8.69               
            Vardas438                       Pavarde438                          7.98               
            Vardas439                       Pavarde439                          6.32               
            Vardas440                       Pavarde440                          3.25               
            Vardas441                       Pavarde441                          7.64               
            Vardas442                       Pavarde442                          6.04               
            Vardas443                       Pavarde443                          4.42               
            Vardas444                       Pavarde444                          3.24               
            Vardas445                       Pavarde445                          7.45               
            Vardas446                       Pavarde446                          2.41               
            Vardas447                       Pavarde447                          1.33               
            Vardas448                       Pavarde448                          1.77               
