             Vardas                           Pavarde                     Galutinis (Vid.)         
            Vardas91                         Pavarde91                          7.71               
            Vardas92                         Pavarde92                          6.10               
            Vardas93                         Pavarde93                          2.77               
            Vardas94                         Pavarde94                          7.55               
            Vardas95                         Pavarde95                          7.82               
            Vardas96                         Pavarde96                          6.47               
            Vardas97                         Pavarde97                          2.94               
            Vardas98                         Pavarde98                          5.11               
            Vardas99                         Pavarde99                          3.37               
            Vardas100                       Pavarde100                          5.67               
            Vardas101                       Pavarde101                          4.23               
            Vardas102                       Pavarde102                          7.67               
            Vardas103                       Pavarde103                          7.57               
            Vardas104                       Pavarde104                          8.09               
            Vardas105                       Pavarde105                          7.07               
            Vardas106                       Pavarde106                          5.09               
            Vardas107                       Pavarde107                          6.18               
            Vardas108                       Pavarde108                          6.99               
            Vardas109                       Pavarde109                          6.58               
            Vardas110                       Pavarde110                          7.88               
            Vardas111                       Pavarde111                          5.46               
            Vardas112                       Pavarde112                          5.64               
            Vardas113                       Pavarde113                          3.66               
            Vardas114                       Pavarde114                          1.63               
            Vardas115                       Pavarde115                          6.09               
            Vardas116                       Pavarde116                          4.40               
            Vardas117                       Pavarde117                          4.38               
            Vardas118                       Pavarde118                          7.87               
            Vardas119                       Pavarde119                          4.53               
            Vardas120                       Pavarde120                          4.79               
            Vardas121                       Pavarde121                          2.10               
            Vardas122                       Pavarde122                          2.42               
            Vardas123                       Pavarde123                          2.71               
            Vardas124                       Pavarde124                          7.83               
            Vardas125                       Pavarde125                          7.17               
            Vardas126                       Pavarde126                          7.47               
            Vardas127                       Pavarde127                          3.79               
            Vardas128                       Pavarde128                          1.76               
            Vardas129                       Pavarde129                          4.08               
            Vardas130                       Pavarde130                          7.62               
            Vardas131                       Pavarde131                          4.99               
            Vardas132                       Pavarde132                          6.89               
            Vardas133                       Pavarde133                          6.75               
            Vardas134                       Pavarde134                          6.62               
            Vardas135                       Pavarde135                          1.97               
            Vardas136                       Pavarde136                          5.51               
            Vardas137                       Pavarde137                          4.75               
            Vardas138                       Pavarde138                          5.25               
            Vardas139                       Pavarde139                          1.77               
            Vardas140                       Pavarde140                          3.70               
            Vardas141                       Pavarde141                          4.21               
            Vardas142                       Pavarde142                          4.62               
            Vardas143                       Pavarde143                          8.34               
            Vardas144                       Pavarde144                          3.86               
            Vardas145                       Pavarde145                          5.58               
            Vardas146                       Pavarde146                          3.67               
            Vardas147                       Pavarde147                          7.27               
            Vardas148                       Pavarde148                          5.15               
            Vardas149                       Pavarde149                          2.33               
            Vardas150                       Pavarde150                          1.06               
            Vardas151                       Pavarde151                          4.87               
            Vardas152                       Pavarde152                          6.88               
            Vardas153                       Pavarde153                          7.75               
            Vardas154                       Pavarde154                          1.88               
            Vardas155                       Pavarde155                          5.86               
            Vardas156                       Pavarde156                          2.43               
            Vardas157                       Pavarde157                          3.32               
            Vardas158                       Pavarde158                          7.54               
            Vardas159                       Pavarde159                          3.31               
            Vardas160                       Pavarde160                          2.35               
            Vardas161                       Pavarde161                          5.64               
            Vardas162                       Pavarde162                          3.77               
            Vardas163                       Pavarde163                          3.56               
            Vardas164                       Pavarde164                          5.96               
            Vardas165                       Pavarde165                          7.27               
            Vardas166                       Pavarde166                          3.51               
            Vardas167                       Pavarde167                          4.95               
            Vardas168                       Pavarde168                          5.73               
            Vardas169                       Pavarde169                          5.98               
            Vardas170                       Pavarde170                          3.45               
            Vardas171                       Pavarde171                          8.75               
            Vardas172                       Pavarde172                          5.60               
            Vardas173                       Pavarde173                          6.65               
            Vardas174                       Pavarde174                          2.87               
            Vardas175                       Pavarde175                          3.18               
            Vardas176                       Pavarde176                          7.80               
            Vardas177                       Pavarde177                          7.75               
            Vardas178                       Pavarde178                          4.29               
            Vardas179                       Pavarde179                          2.71               
            Vardas180                       Pavarde180                          1.21               
            Vardas181                       Pavarde181                          6.82               
            Vardas182                       Pavarde182                          6.86               
            Vardas183                       Pavarde183                          3.09               
            Vardas184                       Pavarde184                          2.53               
            Vardas185                       Pavarde185                          6.61               
            Vardas186                       Pavarde186                          7.49               
            Vardas187                       Pavarde187                          1.99               
            Vardas188                       Pavarde188                          1.74               
            Vardas189                       Pavarde189                          3.58               
            Vardas190                       Pavarde190                          8.29               
            Vardas191                       Pavarde191                          7.33               
            Vardas192                       Pavarde192                          4.70               
            Vardas193                       Pavarde193                          7.37               
            Vardas194                       Pavarde194                          6.09               
            Vardas195                       Pavarde195                          7.02               
            Vardas196                       Pavarde196                          3.54               
            Vardas197                       Pavarde197                          7.28               
            Vardas198                       Pavarde198                          1.87               
            Vardas199                       Pavarde199                          1.79               
            Vardas200                       Pavarde200                          1.74               
            Vardas201                       Pavarde201                          1.93               
            Vardas202                       Pavarde202                          3.87               
            Vardas203                       Pavarde203                          4.05               
            Vardas204                       Pavarde204                          7.01               
            Vardas205                       Pavarde205                          3.41               
            Vardas206                       Pavarde206                          7.75               
            Vardas207                       Pavarde207                          3.53               
            Vardas208                       Pavarde208                          7.08               
            Vardas209                       Pavarde209                          4.48               
            Vardas210                       Pavarde210                          4.40               
            Vardas211                       Pavarde211                          3.83               
            Vardas212                       Pavarde212                          4.70               
            Vardas213                       Pavarde213                          2.06               
            Vardas214                       Pavarde214                          4.21               
            Vardas215                       Pavarde215                          4.38               
            Vardas216                       Pavarde216                          7.55               
            Vardas217                       Pavarde217                          3.28               
            Vardas218                       Pavarde218                          4.76               
            Vardas219                       Pavarde219                          8.28               
            Vardas220                       Pavarde220                          2.99               
            Vardas221                       Pavarde221                          1.51               
            Vardas222                       Pavarde222                          5.64               
            Vardas223                       Pavarde223                          7.54               
            Vardas224                       Pavarde224                          2.07               
            Vardas225                       Pavarde225                          6.92               
            Vardas226                       Pavarde226                          2.47               
            Vardas227                       Pavarde227                          4.27               
            Vardas228                       Pavarde228                          4.38               
            Vardas229                       Pavarde229                          1.72               
            Vardas230                       Pavarde230                          6.22               
            Vardas231                       Pavarde231                          3.75               
            Vardas232                       Pavarde232                          7.22               
            Vardas233                       Pavarde233                          1.80               
            Vardas234                       Pavarde234                          3.67               
            Vardas235                       Pavarde235                          6.88               
            Vardas236                       Pavarde236                          7.62               
            Vardas237                       Pavarde237                          5.74               
            Vardas238                       Pavarde238                          5.34               
            Vardas239                       Pavarde239                          5.54               
            Vardas240                       Pavarde240                          6.71               
            Vardas241                       Pavarde241                          5.64               
            Vardas242                       Pavarde242                          2.80               
            Vardas243                       Pavarde243                          1.78               
            Vardas244                       Pavarde244                          9.02               
            Vardas245                       Pavarde245                          3.05               
            Vardas246                       Pavarde246                          1.37               
            Vardas247                       Pavarde247                          2.83               
            Vardas248                       Pavarde248                          5.40               
            Vardas249                       Pavarde249                          2.42               
            Vardas250                       Pavarde250                          3.69               
            Vardas251                       Pavarde251                          3.14               
            Vardas252                       Pavarde252                          8.13               
            Vardas253                       Pavarde253                          3.09               
            Vardas254                       Pavarde254                          4.51               
            Vardas255                       Pavarde255                          2.12               
            Vardas256                       Pavarde256                          8.17               
            Vardas257                       Pavarde257                          6.76               
            Vardas258                       Pavarde258                          8.34               
            Vardas259                       Pavarde259                          3.65               
            Vardas260                       Pavarde260                          3.57               
            Vardas261                       Pavarde261                          8.03               
            Vardas262                       Pavarde262                          8.13               
            Vardas263                       Pavarde263                          6.74               
            Vardas264                       Pavarde264                          2.35               
            Vardas265                       Pavarde265                          7.58               
            Vardas266                       Pavarde266                          2.04               
            Vardas267                       Pavarde267                          6.80               
            Vardas268                       Pavarde268                          7.66               
            Vardas269                       Pavarde269                          1.36               
            Vardas270                       Pavarde270                          6.00               
            Vardas271                       Pavarde271                          3.27               
            Vardas272                       Pavarde272                          6.93               
            Vardas273                       Pavarde273                          4.66               
            Vardas274                       Pavarde274                          4.48               
            Vardas275                       Pavarde275                          8.24               
            Vardas276                       Pavarde276                          2.91               
            Vardas277                       Pavarde277                          3.87               
            Vardas278                       Pavarde278                          7.33               
            Vardas279                       Pavarde279                          5.43               
            Vardas280                       Pavarde280                          5.39               
            Vardas281                       Pavarde281                          6.93               
            Vardas282                       Pavarde282                          3.02               
            Vardas283                       Pavarde283                          2.54               
            Vardas284                       Pavarde284                          3.06               
            Vardas285                       Pavarde285                          7.63               
            Vardas286                       Pavarde286                          4.68               
            Vardas287                       Pavarde287                          2.59               
            Vardas288                       Pavarde288                          6.82               
            Vardas289                       Pavarde289                          3.09               
            Vardas290                       Pavarde290                          7.19               
            Vardas291                       Pavarde291                          2.01               
            Vardas292                       Pavarde292                          4.75               
            Vardas293                       Pavarde293                          5.56               
            Vardas294                       Pavarde294                          1.58               
            Vardas295                       Pavarde295                          2.68               
            Vardas296                       Pavarde296                          6.82               
            Vardas297                       Pavarde297                          6.40               
            Vardas298                       Pavarde298                          5.06               
            Vardas299                       Pavarde299                          1.56               
            Vardas300                       Pavarde300                          5.61               
            Vardas301                       Pavarde301                          1.86               
            Vardas302                       Pavarde302                          2.64               
            Vardas303                       Pavarde303                          7.32               
            Vardas304                       Pavarde304                          5.57               
            Vardas305                       Pavarde305                          5.17               
            Vardas306                       Pavarde306                          2.20               
            Vardas307                       Pavarde307                          2.07               
            Vardas308                       Pavarde308                          6.69               
            Vardas309                       Pavarde309                          2.07               
            Vardas310                       Pavarde310                          7.12               
            Vardas311                       Pavarde311                          2.36               
            Vardas312                       Pavarde312                          2.92               
            Vardas313                       Pavarde313                          3.60               
            Vardas314                       Pavarde314                          2.94               
            Vardas315                       Pavarde315                          5.72               
            Vardas316                       Pavarde316                          4.13               
            Vardas317                       Pavarde317                          6.88               
            Vardas318                       Pavarde318                          3.68               
            Vardas319                       Pavarde319                          5.40               
            Vardas320                       Pavarde320                          1.43               
            Vardas321                       Pavarde321                          2.73               
            Vardas322                       Pavarde322                          2.01               
            Vardas323                       Pavarde323                          6.94               
            Vardas324                       Pavarde324                          3.46               
            Vardas325                       Pavarde325                          8.21               
            Vardas326                       Pavarde326                          7.86               
            Vardas327                       Pavarde327                          4.36               
            Vardas328                       Pavarde328                          4.74               
            Vardas329                       Pavarde329                          8.20               
            Vardas330                       Pavarde330                          6.61               
            Vardas331                       Pavarde331                          1.37               
            Vardas332                       Pavarde332                          2.05               
            Vardas333                       Pavarde333                          1.82               
            Vardas334                       Pavarde334                          3.01               
            Vardas335                       Pavarde335                          6.16               
            Vardas336                       Pavarde336                          2.98               
            Vardas337                       Pavarde337                          1.62               
            Vardas338                       Pavarde338                          5.87               
            Vardas339                       Pavarde339                          6.54               
            Vardas340                       Pavarde340                          7.80               
            Vardas341                       Pavarde341                          6.77               
            Vardas342                       Pavarde342                          4.63               
            Vardas343                       Pavarde343                          6.54               
            Vardas344                       Pavarde344                          6.78               
            Vardas345                       Pavarde345                          6.11               
            Vardas346                       Pavarde346                          5.78               
            Vardas347                       Pavarde347                          4.60               
            Vardas348                       Pavarde348                          5.68               
            Vardas349                       Pavarde349                          5.76               
            Vardas350                       Pavarde350                          6.67               
            Vardas351                       Pavarde351                          1.34               
            Vardas352                       Pavarde352                          2.96               
            Vardas353                       Pavarde353                          3.55               
            Vardas354                       Pavarde354                          8.46               
            Vardas355                       Pavarde355                          1.54               
            Vardas356                       Pavarde356                          4.54               
            Vardas357                       Pavarde357                          3.78               
            Vardas358                       Pavarde358                          8.12               
            Vardas359                       Pavarde359                          5.72               
            Vardas360                       Pavarde360                          2.21               
            Vardas361                       Pavarde361                          5.27               
            Vardas362                       Pavarde362                          6.83               
            Vardas363                       Pavarde363                          6.33               
            Vardas364                       Pavarde364                          7.89               
            Vardas365                       Pavarde365                          8.54               
            Vardas366                       Pavarde366                          3.58               
            Vardas367                       Pavarde367                          3.51               
            Vardas368                       Pavarde368                          4.23               
            Vardas369                       Pavarde369                          5.07               
            Vardas370                       Pavarde370                          4.53               
            Vardas371                       Pavarde371                          5.21               
            Vardas372                       Pavarde372                          2.35               
            Vardas373                       Pavarde373                          5.41               
            Vardas374                       Pavarde374                          2.33               
            Vardas375                       Pavarde375                          3.90               
            Vardas376                       Pavarde376                          3.99               
            Vardas377                       Pavarde377                          6.49               
            Vardas378                       Pavarde378                          1.88               
            Vardas379                       Pavarde379                          5.18               
            Vardas380                       Pavarde380                          6.21               
            Vardas381                       Pavarde381                          6.34               
            Vardas382                       Pavarde382                          6.91               
            Vardas383                       Pavarde383                          4.14               
            Vardas384                       Pavarde384                          7.50               
            Vardas385                       Pavarde385                          6.70               
            Vardas386                       Pavarde386                          1.98               
            Vardas387                       Pavarde387                          7.77               
            Vardas388                       Pavarde388                          3.39               
            Vardas389                       Pavarde389                          2.09               
            Vardas390                       Pavarde390                          2.91               
            Vardas391                       Pavarde391                          2.24               
            Vardas392                       Pavarde392                          2.81               
            Vardas393                       Pavarde393                          5.71               
            Vardas394                       Pavarde394                          3.26               
            Vardas395                       Pavarde395                          3.30               
            Vardas396                       Pavarde396                          3.66               
            Vardas397                       Pavarde397                          6.54               
            Vardas398                       Pavarde398                          5.73               
            Vardas399                       Pavarde399                          1.56               
            Vardas400                       Pavarde400                          7.63               
            Vardas401                       Pavarde401                          8.35               
            Vardas402                       Pavarde402                          4.32               
            Vardas403                       Pavarde403                          6.51               
            Vardas404                       Pavarde404                          6.66               
            Vardas405                       Pavarde405                          4.35               
            Vardas406                       Pavarde406                          3.40               
            Vardas407                       Pavarde407                          8.11               
            Vardas408                       Pavarde408                          7.81               
            Vardas409                       Pavarde409                          6.66               
            Vardas410                       Pavarde410                          7.19               
            Vardas411                       Pavarde411                          7.51               
            Vardas412                       Pavarde412                          7.50               
            Vardas413                       Pavarde413                          7.53               
            Vardas414                       Pavarde414                          4.67               
            Vardas415                       Pavarde415                          5.21               
            Vardas416                       Pavarde416                          3.34               
            Vardas417                       Pavarde417                          3.95               
            Vardas418                       Pavarde418                          3.23               
            Vardas419                       Pavarde419                          6.34               
            Vardas420                       Pavarde420                          8.30               
            Vardas421                       Pavarde421                          6.64               
            Vardas422                       Pavarde422                          2.71               
            Vardas423                       Pavarde423                          3.43               
            Vardas424                       Pavarde424                          7.02               
            Vardas425                       Pavarde425                          5.42               
            Vardas426                       Pavarde426                          4.83               
            Vardas427                       Pavarde427                          7.43               
            Vardas428                       Pavarde428                          7.65               
            Vardas429                       Pavarde429                          4.29               
            Vardas430                       Pavarde430                          3.31               
            Vardas431                       Pavarde431                          6.76               
            Vardas432                       Pavarde432                          3.87               
            Vardas433                       Pavarde433                          8.22               
            Vardas434                       Pavarde434                          1.92               
            Vardas435                       Pavarde435                          7.21               
            Vardas436                       Pavarde436                          1.46               
            Vardas437                       Pavarde437                          2.13               
            Vardas438                       Pavarde438                          3.05               
            Vardas439                       Pavarde439                          2.91               
            Vardas440                       Pavarde440                          1.63               
            Vardas441                       Pavarde441                          7.11               
            Vardas442                       Pavarde442                          6.42               
            Vardas443                       Pavarde443                          3.66               
            Vardas444                       Pavarde444                          2.18               
            Vardas445                       Pavarde445                          6.21               
            Vardas446                       Pavarde446                          8.16               
            Vardas447                       Pavarde447                          4.80               
            Vardas448                       Pavarde448                          6.84               
            Vardas449                       Pavarde449                          2.18               
            Vardas450                       Pavarde450                          6.38               
            Vardas451                       Pavarde451                          7.96               
            Vardas452                       Pavarde452                          7.73               
            Vardas453                       Pavarde453                          3.41               
            Vardas454                       Pavarde454                          3.59               
            Vardas455                       Pavarde455                          1.64               
            Vardas456                       Pavarde456                          3.62               
            Vardas457                       Pavarde457                          5.38               
            Vardas458                       Pavarde458                          5.22               
            Vardas459                       Pavarde459                          4.88               
            Vardas460                       Pavarde460                          4.79               
            Vardas461                       Pavarde461                          4.35               
            Vardas462                       Pavarde462                          4.06               
            Vardas463                       Pavarde463                          5.83               
            Vardas464                       Pavarde464                          2.64               
            Vardas465                       Pavarde465                          7.89               
            Vardas466                       Pavarde466                          6.73               
            Vardas467                       Pavarde467                          7.64               
            Vardas468                       Pavarde468                          1.78               
            Vardas469                       Pavarde469                          6.58               
            Vardas470                       Pavarde470                          2.14               
            Vardas471                       Pavarde471                          1.49               
            Vardas472                       Pavarde472                          2.76               
            Vardas473                       Pavarde473                          6.15               
            Vardas474                       Pavarde474                          2.46               
            Vardas475                       Pavarde475                          5.04               
            Vardas476                       Pavarde476                          6.16               
            Vardas477                       Pavarde477                          7.14               
            Vardas478                       Pavarde478                          5.28               
            Vardas479                       Pavarde479                          2.91               
            Vardas480                       Pavarde480                          5.03               
            Vardas481                       Pavarde481                          6.29               
            Vardas482                       Pavarde482                          3.05               
            Vardas483                       Pavarde483                          3.40               
            Vardas484                       Pavarde484                          5.30               
            Vardas485                       Pavarde485                          5.82               
            Vardas486                       Pavarde486                          8.02               
            Vardas487                       Pavarde487                          3.53               
            Vardas488                       Pavarde488                          6.11               
            Vardas489                       Pavarde489                          6.42               
            Vardas490                       Pavarde490                          7.77               
            Vardas491                       Pavarde491                          1.64               
            Vardas492                       Pavarde492                          6.06               
            Vardas493                       Pavarde493                          2.75               
            Vardas494                       Pavarde494                          3.76               
            Vardas495                       Pavarde495                          5.36               
            Vardas496                       Pavarde496                          2.08               
            Vardas497                       Pavarde497                          1.54               
            Vardas498                       Pavarde498                          6.68               
            Vardas499                       Pavarde499                          7.33               
            Vardas500                       Pavarde500                          7.58               
            Vardas501                       Pavarde501                          6.42               
            Vardas502                       Pavarde502                          2.16               
            Vardas503                       Pavarde503                          5.78               
            Vardas504                       Pavarde504                          4.24               
            Vardas505                       Pavarde505                          4.30               
            Vardas506                       Pavarde506                          6.26               
            Vardas507                       Pavarde507                          2.00               
            Vardas508                       Pavarde508                          2.23               
            Vardas509                       Pavarde509                          1.99               
            Vardas510                       Pavarde510                          2.23               
            Vardas511                       Pavarde511                          6.70               
            Vardas512                       Pavarde512                          8.62               
            Vardas513                       Pavarde513                          2.41               
            Vardas514                       Pavarde514                          5.44               
            Vardas515                       Pavarde515                          7.95               
            Vardas516                       Pavarde516                          5.89               
            Vardas517                       Pavarde517                          6.16               
            Vardas518                       Pavarde518                          6.14               
            Vardas519                       Pavarde519                          7.15               
            Vardas520                       Pavarde520                          7.10               
            Vardas521                       Pavarde521                          8.07               
            Vardas522                       Pavarde522                          1.96               
            Vardas523                       Pavarde523                          3.88               
            Vardas524                       Pavarde524                          4.45               
            Vardas525                       Pavarde525                          3.79               
            Vardas526                       Pavarde526                          6.71               
            Vardas527                       Pavarde527                          5.22               
            Vardas528                       Pavarde528                          0.90               
            Vardas529                       Pavarde529                          5.72               
            Vardas530                       Pavarde530                          3.13               
            Vardas531                       Pavarde531                          8.03               
            Vardas532                       Pavarde532                          4.40               
            Vardas533                       Pavarde533                          3.35               
            Vardas534                       Pavarde534                          6.63               
            Vardas535                       Pavarde535                          4.99               
            Vardas536                       Pavarde536                          5.04               
            Vardas537                       Pavarde537                          3.16               
            Vardas538                       Pavarde538                          6.11               
            Vardas539                       Pavarde539                          6.25               
            Vardas540                       Pavarde540                          7.32               
            Vardas541                       Pavarde541                          8.46               
            Vardas542                       Pavarde542                          2.51               
            Vardas543                       Pavarde543                          3.42               
            Vardas544                       Pavarde544                          7.42               
            Vardas545                       Pavarde545                          7.10               
            Vardas546                       Pavarde546                          5.08               
            Vardas547                       Pavarde547                          2.08               
            Vardas548                       Pavarde548                          5.84               
            Vardas549                       Pavarde549                          8.10               
            Vardas550                       Pavarde550                          1.81               
            Vardas551                       Pavarde551                          6.89               
            Vardas552                       Pavarde552                          4.01               
            Vardas553                       Pavarde553                          7.44               
            Vardas554                       Pavarde554                          2.98               
            Vardas555                       Pavarde555                          4.80               
            Vardas556                       Pavarde556                          4.71               
            Vardas557                       Pavarde557                          7.65               
            Vardas558                       Pavarde558                          6.85               
            Vardas559                       Pavarde559                          7.41               
            Vardas560                       Pavarde560                          4.29               
            Vardas561                       Pavarde561                          1.47               
            Vardas562                       Pavarde562                          5.13               
            Vardas563                       Pavarde563                          1.84               
            Vardas564                       Pavarde564                          3.95               
            Vardas565                       Pavarde565                          8.20               
            Vardas566                       Pavarde566                          3.99               
            Vardas567                       Pavarde567                          4.60               
            Vardas568                       Pavarde568                          6.24               
            Vardas569                       Pavarde569                          4.09               
            Vardas570                       Pavarde570                          3.03               
            Vardas571                       Pavarde571                          5.24               
            Vardas572                       Pavarde572                          6.15               
            Vardas573                       Pavarde573                          6.52               
            Vardas574                       Pavarde574                          5.79               
            Vardas575                       Pavarde575                          1.84               
            Vardas576                       Pavarde576                          4.97               
            Vardas577                       Pavarde577                          4.86               
            Vardas578                       Pavarde578                          5.74               
            Vardas579                       Pavarde579                          8.34               
            Vardas580                       Pavarde580                          8.30               
            Vardas581                       Pavarde581                          3.94               
            Vardas582                       Pavarde582                          1.80               
            Vardas583                       Pavarde583                          3.34               
            Vardas584                       Pavarde584                          6.49               
            Vardas585                       Pavarde585                          8.51               
            Vardas586                       Pavarde586                          5.79               
            Vardas587                       Pavarde587                          3.51               
            Vardas588                       Pavarde588                          4.48               
            Vardas589                       Pavarde589                          4.04               
            Vardas590                       Pavarde590                          6.08               
            Vardas591                       Pavarde591                          7.98               
            Vardas592                       Pavarde592                          6.43               
            Vardas593                       Pavarde593                          6.11               
            Vardas594                       Pavarde594                          6.14               
            Vardas595                       Pavarde595                          3.42               
            Vardas596                       Pavarde596                          1.21               
            Vardas597                       Pavarde597                          6.40               
            Vardas598                       Pavarde598                          3.76               
            Vardas599                       Pavarde599                          6.49               
            Vardas600                       Pavarde600                          6.99               
            Vardas601                       Pavarde601                          5.88               
            Vardas602                       Pavarde602                          5.70               
            Vardas603                       Pavarde603                          8.54               
            Vardas604                       Pavarde604                          3.00               
            Vardas605                       Pavarde605                          5.67               
            Vardas606                       Pavarde606                          7.75               
            Vardas607                       Pavarde607                          3.22               
            Vardas608                       Pavarde608                          4.73               
            Vardas609                       Pavarde609                          6.72               
            Vardas610                       Pavarde610                          4.92               
            Vardas611                       Pavarde611                          6.07               
            Vardas612                       Pavarde612                          6.29               
            Vardas613                       Pavarde613                          6.25               
            Vardas614                       Pavarde614                          3.98               
            Vardas615                       Pavarde615                          3.69               
            Vardas616                       Pavarde616                          2.91               
            Vardas617                       Pavarde617                          8.42               
            Vardas618                       Pavarde618                          7.43               
            Vardas619                       Pavarde619                          4.62               
            Vardas620                       Pavarde620                          4.22               
            Vardas621                       Pavarde621                          7.41               
            Vardas622                       Pavarde622                          1.90               
            Vardas623                       Pavarde623                          8.01               
            Vardas624                       Pavarde624                          2.95               
            Vardas625                       Pavarde625                          4.57               
            Vardas626                       Pavarde626                          3.07               
            Vardas627                       Pavarde627                          3.53               
            Vardas628                       Pavarde628                          5.86               
            Vardas629                       Pavarde629                          7.80               
            Vardas630                       Pavarde630                          1.74               
            Vardas631                       Pavarde631                          6.71               
            Vardas632                       Pavarde632                          4.64               
            Vardas633                       Pavarde633                          8.67               
            Vardas634                       Pavarde634                          5.92               
            Vardas635                       Pavarde635                          6.63               
            Vardas636                       Pavarde636                          5.12               
            Vardas637                       Pavarde637                          7.99               
            Vardas638                       Pavarde638                          4.98               
            Vardas639                       Pavarde639                          4.04               
            Vardas640                       Pavarde640                          6.83               
            Vardas641                       Pavarde641                          2.22               
            Vardas642                       Pavarde642                          8.09               
            Vardas643                       Pavarde643                          4.58               
            Vardas644                       Pavarde644                          4.32               
            Vardas645                       Pavarde645                          4.63               
            Vardas646                       Pavarde646                          6.01               
            Vardas647                       Pavarde647                          4.60               
            Vardas648                       Pavarde648                          7.28               
            Vardas649                       Pavarde649                          2.86               
            Vardas650                       Pavarde650                          6.58               
            Vardas651                       Pavarde651                          2.31               
            Vardas652                       Pavarde652                          6.16               
            Vardas653                       Pavarde653                          3.79               
            Vardas654                       Pavarde654                          4.96               
            Vardas655                       Pavarde655                          2.23               
            Vardas656                       Pavarde656                          8.55               
            Vardas657                       Pavarde657                          4.01               
            Vardas658                       Pavarde658                          2.67               
            Vardas659                       Pavarde659                          5.72               
            Vardas660                       Pavarde660                          7.71               
            Vardas661                       Pavarde661                          6.56               
            Vardas662                       Pavarde662                          1.48               
            Vardas663                       Pavarde663                          5.35               
